,date,file,change_type,added,removed,language
0,2016-06-22 02:00:14-04:00,FAQ.md,ADD,38,0,
1,2016-06-22 02:00:14-04:00,README.md,ADD,21,0,
2,2016-06-22 02:00:14-04:00,log.md,ADD,30,0,
3,2016-06-22 02:00:14-04:00,resources.md,ADD,24,0,
4,2016-06-22 02:00:14-04:00,rules.md,ADD,28,0,
5,2016-06-22 15:01:18+05:18,resources.md,MODIFY,9,2,
6,2016-06-22 09:14:05-04:00,README.md,MODIFY,7,8,
7,2016-06-22 10:54:14-04:00,README.md,MODIFY,3,2,
8,2016-06-22 15:25:04-04:00,README.md,MODIFY,1,0,
9,2016-06-22 15:26:11-04:00,README.md,MODIFY,1,1,
10,2016-06-27 10:13:08-07:00,resources.md,MODIFY,1,0,
11,2016-07-04 16:06:14+03:00,resources.md,MODIFY,1,1,
12,2016-07-18 16:28:36+05:18,resources.md,MODIFY,2,1,
13,2016-07-22 10:29:28-04:00,README.md,MODIFY,1,1,
14,2016-07-22 10:29:52-04:00,README.md,MODIFY,1,1,
15,2016-07-27 15:40:06-04:00,README.md,MODIFY,2,2,
16,2016-09-26 13:31:44-04:00,resources.md,MODIFY,1,1,
17,2017-06-01 13:27:02-05:00,resources.md,MODIFY,0,3,
18,2017-06-05 15:25:22-04:00,README.md,MODIFY,1,0,
19,2017-06-07 11:05:17-04:00,resources.md,MODIFY,12,0,
20,2017-06-07 11:06:44-04:00,resources.md,MODIFY,5,6,
21,2017-06-07 12:26:17-04:00,resources.md,MODIFY,1,1,
22,2017-07-18 00:13:07-04:00,r1-log.md,ADD,10,0,
23,2017-07-18 00:26:53-04:00,README.md,MODIFY,8,7,
24,2017-07-18 00:27:24-04:00,README.md,MODIFY,1,1,
25,2017-10-28 01:06:25-04:00,FAQ.md,MODIFY,5,1,
26,2017-10-28 01:07:57-04:00,README.md,MODIFY,2,1,
27,2017-12-12 01:32:11-05:00,README.md,MODIFY,1,1,
28,2017-12-28 01:24:34-05:00,README.md,MODIFY,5,0,
29,2017-12-28 01:27:08-05:00,README.md,MODIFY,2,2,
30,2018-03-15 17:27:28-04:00,rules.md,MODIFY,1,1,
31,2018-03-15 17:30:22-04:00,log.md,MODIFY,4,25,
32,2018-03-15 17:57:51-04:00,hello_world.py,ADD,1,0,Python
33,2018-03-15 17:57:51-04:00,r1-log.md,DELETE,0,10,
34,2018-03-15 18:38:58-04:00,HelloWorld.java,ADD,5,0,Java
35,2018-03-15 18:47:57-04:00,HelloWorld.java,RENAME,0,0,Java
36,2018-03-15 18:47:57-04:00,hello_world.py,RENAME,0,0,Python
37,2018-03-15 18:47:57-04:00,log.md,MODIFY,7,1,
38,2018-03-15 20:27:08-04:00,JavaHelloWorld.java,RENAME,1,1,Java
39,2018-03-15 20:27:08-04:00,c_hello_world.c,ADD,6,0,
40,2018-03-15 20:27:08-04:00,python_hello_world.py,RENAME,0,0,Python
41,2018-03-15 20:29:06-04:00,log.md,MODIFY,7,0,
42,2018-03-15 21:15:08-04:00,cpp_hello_world.cpp,ADD,0,0,C++
43,2018-03-15 21:16:03-04:00,log.md,MODIFY,7,0,
44,2018-03-16 03:45:35-04:00,log.md,MODIFY,4,4,
45,2018-03-16 03:46:41-04:00,log.md,MODIFY,4,4,
46,2018-03-20 22:39:29-04:00,c_sharp_hello_world.cs,ADD,0,0,
47,2018-03-20 22:40:22-04:00,log.md,MODIFY,8,1,
48,2018-03-21 00:11:57-04:00,c_hello_world.c,MODIFY,1,0,
49,2018-03-21 00:11:57-04:00,c_sharp_hello_world.cs,MODIFY,5,0,
50,2018-03-21 00:11:57-04:00,cpp_hello_world.cpp,MODIFY,8,0,C++
51,2018-03-21 00:11:57-04:00,ruby-hello-world.rb,ADD,1,0,
52,2018-03-21 18:43:46-04:00,objective-c-hello-world.m,ADD,9,0,
53,2018-03-21 18:49:22-04:00,log.md,MODIFY,14,0,
